Configuration,Algorithm,Run,Best Fitness,Iterations,Function Evaluations,Runtime (s)
HC_Standard,Hill Climbing,1,inf,1,1,0.0013899803161621094
HC_Standard,Hill Climbing,2,inf,1,1,0.0012598037719726562
HC_Standard,Hill Climbing,3,inf,1,1,0.001416921615600586
HC_Standard,Hill Climbing,5,inf,1,1,0.0009083747863769531
HC_Standard,Hill Climbing,4,inf,1,1,0.001249551773071289
SA_Standard,Simulated Annealing,2,inf,6561,6561,3.5203723907470703
SA_Standard,Simulated Annealing,3,inf,6561,6561,3.548016309738159
SA_Standard,Simulated Annealing,4,inf,6561,6561,3.661865234375
SA_Standard,Simulated Annealing,1,inf,6561,6561,3.693148136138916
SA_Standard,Simulated Annealing,5,inf,6561,6561,3.4583139419555664
GA_Tournament_OnePoint,Genetic Algorithm,1,0.05714285714285552,51,39993,55.62416887283325
GA_Tournament_OnePoint,Genetic Algorithm,3,0.05714285714285552,51,40009,58.288769006729126
GA_Tournament_OnePoint,Genetic Algorithm,4,0.10690449676496672,51,40149,57.48905634880066
GA_Tournament_OnePoint,Genetic Algorithm,2,0.05714285714285552,51,40091,70.29520273208618
GA_Tournament_OnePoint,Genetic Algorithm,5,0.05714285714285552,51,40121,55.88906931877136
GA_Ranking_Uniform,Genetic Algorithm,1,0.05714285714285552,51,991329,152.74539828300476
GA_Ranking_Uniform,Genetic Algorithm,3,0.10690449676496672,51,995921,155.4148073196411
GA_Ranking_Uniform,Genetic Algorithm,2,0.05714285714285552,51,991509,167.194983959198
GA_Ranking_Uniform,Genetic Algorithm,4,0.05714285714285552,51,991261,153.40405416488647
GA_Ranking_Uniform,Genetic Algorithm,5,0.05714285714285552,51,993731,154.22337412834167
GA_Boltzmann_TeamShift,Genetic Algorithm,1,0.24578072191550127,51,992703,155.60959720611572
GA_Boltzmann_TeamShift,Genetic Algorithm,2,0.16659862556700822,51,992233,166.46587014198303
GA_Boltzmann_TeamShift,Genetic Algorithm,3,0.24578072191550127,51,994009,156.92768955230713
GA_Boltzmann_TeamShift,Genetic Algorithm,4,0.2913725436338715,51,991931,152.89506101608276
GA_Boltzmann_TeamShift,Genetic Algorithm,5,0.10690449676496672,51,993535,151.92497634887695
