Configuration,Run,Fitness,Evaluations,Runtime,Error
HC_Standard,1,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
HC_Standard,2,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
HC_Standard,3,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
SA_Standard,1,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
SA_Standard,2,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
SA_Standard,3,inf,0,0,'LeagueSolution' object has no attribute 'get_fitness'
GA_Tournament_OnePoint,1,inf,0,0,name 'tournament_selection' is not defined
GA_Tournament_OnePoint,2,inf,0,0,name 'tournament_selection' is not defined
GA_Tournament_OnePoint,3,inf,0,0,name 'tournament_selection' is not defined
GA_Tournament_TwoPoint,1,inf,0,0,name 'tournament_selection' is not defined
GA_Tournament_TwoPoint,2,inf,0,0,name 'tournament_selection' is not defined
GA_Tournament_TwoPoint,3,inf,0,0,name 'tournament_selection' is not defined
GA_Rank_Uniform,1,inf,0,0,name 'rank_selection' is not defined
GA_Rank_Uniform,2,inf,0,0,name 'rank_selection' is not defined
GA_Rank_Uniform,3,inf,0,0,name 'rank_selection' is not defined
GA_Boltzmann_TwoPoint,1,inf,0,0,name 'boltzmann_selection' is not defined
GA_Boltzmann_TwoPoint,2,inf,0,0,name 'boltzmann_selection' is not defined
GA_Boltzmann_TwoPoint,3,inf,0,0,name 'boltzmann_selection' is not defined
GA_Hybrid,1,inf,0,0,name 'tournament_selection' is not defined
GA_Hybrid,2,inf,0,0,name 'tournament_selection' is not defined
GA_Hybrid,3,inf,0,0,name 'tournament_selection' is not defined
GA_Low_Mutation,1,inf,0,0,name 'tournament_selection' is not defined
GA_Low_Mutation,2,inf,0,0,name 'tournament_selection' is not defined
GA_Low_Mutation,3,inf,0,0,name 'tournament_selection' is not defined
GA_High_Mutation,1,inf,0,0,name 'tournament_selection' is not defined
GA_High_Mutation,2,inf,0,0,name 'tournament_selection' is not defined
GA_High_Mutation,3,inf,0,0,name 'tournament_selection' is not defined
GA_No_Elitism,1,inf,0,0,name 'tournament_selection' is not defined
GA_No_Elitism,2,inf,0,0,name 'tournament_selection' is not defined
GA_No_Elitism,3,inf,0,0,name 'tournament_selection' is not defined
GA_High_Elitism,1,inf,0,0,name 'tournament_selection' is not defined
GA_High_Elitism,2,inf,0,0,name 'tournament_selection' is not defined
GA_High_Elitism,3,inf,0,0,name 'tournament_selection' is not defined
GA_Small_Population,1,inf,0,0,name 'tournament_selection' is not defined
GA_Small_Population,2,inf,0,0,name 'tournament_selection' is not defined
GA_Small_Population,3,inf,0,0,name 'tournament_selection' is not defined
GA_Large_Population,1,inf,0,0,name 'tournament_selection' is not defined
GA_Large_Population,2,inf,0,0,name 'tournament_selection' is not defined
GA_Large_Population,3,inf,0,0,name 'tournament_selection' is not defined
GA_Valid_Initial,1,inf,0,0,name 'tournament_selection' is not defined
GA_Valid_Initial,2,inf,0,0,name 'tournament_selection' is not defined
GA_Valid_Initial,3,inf,0,0,name 'tournament_selection' is not defined
GA_Repair_Operator,1,inf,0,0,name 'tournament_selection' is not defined
GA_Repair_Operator,2,inf,0,0,name 'tournament_selection' is not defined
GA_Repair_Operator,3,inf,0,0,name 'tournament_selection' is not defined
