Configuration,Run,Fitness,Evaluations,Runtime
HC_Standard,1,inf,1,0.0007083415985107422
HC_Standard,2,inf,1,0.0007071495056152344
HC_Standard,3,inf,1,0.0007138252258300781
HC_Standard,4,inf,1,0.000701904296875
HC_Standard,5,inf,1,0.000682830810546875
HC_Standard,6,inf,1,0.0006899833679199219
HC_Standard,12,inf,1,0.0005445480346679688
HC_Standard,7,inf,1,0.0006651878356933594
HC_Standard,8,inf,1,0.0006396770477294922
HC_Standard,9,inf,1,0.0006747245788574219
HC_Standard,10,inf,1,0.0006761550903320312
HC_Standard,11,inf,1,0.0006742477416992188
HC_Standard,13,inf,1,0.0006601810455322266
HC_Standard,15,inf,1,0.0006043910980224609
HC_Standard,14,inf,1,0.0006573200225830078
HC_Standard,16,inf,1,0.0006647109985351562
HC_Standard,22,inf,1,0.0005249977111816406
HC_Standard,17,inf,1,0.0006701946258544922
HC_Standard,18,inf,1,0.0006897449493408203
HC_Standard,28,inf,1,0.0005443096160888672
HC_Standard,23,inf,1,0.0006389617919921875
HC_Standard,24,inf,1,0.0006632804870605469
HC_Standard,19,inf,1,0.0009725093841552734
HC_Standard,26,inf,1,0.0006589889526367188
HC_Standard,20,inf,1,0.0011436939239501953
HC_Standard,21,inf,1,0.001104593276977539
HC_Standard,30,inf,1,0.0006418228149414062
HC_Standard,27,inf,1,0.0008084774017333984
HC_Standard,25,inf,1,0.0011336803436279297
HC_Standard,29,inf,1,0.0010790824890136719
HC_Valid_Initial,19,0.05714285714285552,13493,1.5501210689544678
HC_Valid_Initial,9,0.10690449676496672,13277,1.5547397136688232
HC_Valid_Initial,29,0.05714285714285552,13518,1.5763561725616455
HC_Valid_Initial,5,0.05714285714285552,13057,1.5936391353607178
HC_Valid_Initial,22,0.10690449676496672,13054,1.5953519344329834
HC_Valid_Initial,10,0.05714285714285552,13406,1.601893663406372
HC_Valid_Initial,4,0.05714285714285552,13151,1.6049728393554688
HC_Valid_Initial,20,0.10690449676496672,13123,1.6037359237670898
HC_Valid_Initial,12,0.05714285714285552,13314,1.619638442993164
HC_Valid_Initial,26,0.05714285714285552,13286,1.6185111999511719
HC_Valid_Initial,8,0.05714285714285552,13489,1.6410586833953857
HC_Valid_Initial,18,0.05714285714285552,13379,1.639176607131958
HC_Valid_Initial,1,0.05714285714285552,13618,1.645521879196167
HC_Valid_Initial,16,0.05714285714285552,13504,1.6444666385650635
HC_Valid_Initial,11,0.05714285714285552,13515,1.6460912227630615
